ID,Huda City Centre,IFFCO Chowk,MG Road,Sikanderpur,Gurudronacharya,Arjan Garh,Ghitorni,Sultanpur,Chhattarpur,Qutab Minar
2380,10:34pm,10:36pm,10:39pm,10:41pm,10:43pm,10:47pm,10:51pm,10:53pm,10:56pm,10:59pm
2381,10:37pm,10:39pm,10:42pm,10:44pm,10:46pm,10:50pm,10:54pm,10:56pm,10:59pm,11:01pm
2382,10:40pm,10:42pm,10:45pm,10:47pm,10:49pm,10:53pm,10:56pm,10:59pm,11:02pm,11:04pm
2383,10:43pm,10:45pm,10:48pm,10:50pm,10:52pm,10:56pm,10:59pm,11:02pm,11:05pm,11:07pm
2384,10:45pm,10:48pm,10:50pm,10:53pm,10:55pm,10:59pm,11:02pm,11:05pm,11:07pm,11:10pm
2385,10:48pm,10:51pm,10:53pm,10:56pm,10:58pm,11:01pm,11:05pm,11:07pm,11:10pm,11:13pm
2386,10:51pm,10:53pm,10:56pm,10:59pm,11:01pm,11:04pm,11:08pm,11:10pm,11:13pm,11:16pm
2387,10:54pm,10:56pm,10:59pm,11:01pm,11:04pm,11:07pm,11:11pm,11:13pm,11:16pm,11:19pm
2388,10:57pm,10:59pm,11:02pm,11:04pm,11:06pm,11:10pm,11:14pm,11:16pm,11:19pm,11:22pm
2389,11:00pm,11:02pm,11:05pm,11:07pm,11:09pm,11:13pm,11:16pm,11:19pm,11:22pm,11:24pm
2390,11:03pm,11:05pm,11:08pm,11:10pm,11:12pm,11:16pm,11:19pm,11:22pm,11:25pm,11:27pm
2391,11:05pm,11:08pm,11:10pm,11:13pm,11:15pm,11:19pm,11:22pm,11:25pm,11:27pm,11:30pm
2392,11:08pm,11:11pm,11:13pm,11:16pm,11:18pm,11:21pm,11:25pm,11:27pm,11:30pm,11:33pm
2393,11:11pm,11:14pm,11:16pm,11:19pm,11:21pm,11:24pm,11:28pm,11:30pm,11:33pm,11:36pm
2394,11:14pm,11:16pm,11:19pm,11:22pm,11:24pm,11:27pm,11:31pm,11:33pm,11:36pm,11:39pm
2395,11:17pm,11:19pm,11:22pm,11:24pm,11:26pm,11:30pm,11:34pm,11:36pm,11:39pm,11:42pm
